
Host: Rubens-MacBook-Pro-2.local

Timers On : Sat Jan 23 21:23:40 2021
Timers Off: Sat Jan 23 22:00:09 2021

Wall Time:     2189.49 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form F                          :      2.117u      0.367s      0.242w     31 calls
HF: Form D                          :      0.967u      0.067s      0.156w     31 calls
HF: DIIS                            :     35.883u      6.017s      3.841w     30 calls
DIISManager::add_entry              :      1.450u      0.033s      0.136w     30 calls
DIISManager::extrapolate            :     10.900u      4.100s      1.410w     30 calls
bMatrix setup                       :      3.900u      3.083s      0.711w     30 calls
bMatrix pseudoinverse               :      0.083u      0.017s      0.009w     30 calls
New vector                          :      6.900u      1.000s      0.689w     30 calls
HF: Form C                          :     50.900u      3.000s      5.479w     30 calls

--------------------------------------------------------------------------------------
V: Grid                             :    782.367u      2.367s     75.252w      1 calls
DFH: sparsity prep                  :      1.550u      0.100s      0.999w      1 calls
JK: (A|Q)^-1                        :    516.933u     31.017s     85.841w      1 calls
JK: (A|mn)                          :    199.233u      6.867s     22.441w      1 calls
JK: (Q|mn)                          :    686.650u     39.900s    140.976w      1 calls
JK: (Q|mn) Write                    :      1.000u     11.133s     21.229w      1 calls
HF: Form core H                     :      0.483u      0.067s      0.051w      1 calls
HF: Form S/X                        :      1.317u      0.133s      0.138w      1 calls
HF: Guess                           :      3.667u      0.367s      0.371w      1 calls
| SAD Guess                         :      3.467u      0.333s      0.351w      1 calls
HF: Form G                          :  21008.583u    841.317s   2425.845w     31 calls
| RV: Form V                        :   2661.717u    113.283s    263.183w     31 calls
| | Properties                      :   1244.041p                         647435 calls
| | Functional                      :    183.653p                         647435 calls
| | V_xc                            :    559.226p                         647435 calls
| JK: D                             :      1.633u      0.133s      0.185w     31 calls
| JK: USO2AO                        :      0.767u      0.150s      0.070w     31 calls
| JK: JK                            :  18340.783u    726.217s   2161.699w     31 calls
| | JK: (Q|mn) Read                 :     31.367u    134.700s    111.752w     65 calls
| | JK: J                           :     48.400u      2.333s      8.490w     65 calls
| | | JK: J1                        :     24.550u      1.567s      4.407w     65 calls
| | | JK: J2                        :     22.083u      0.283s      3.575w     65 calls
| | JK: K                           :   5215.400u    448.450s    793.698w     65 calls
| | | JK: K1                        :   2403.367u    337.383s    319.143w     65 calls
| | | JK: K2                        :   2810.300u    110.633s    474.179w     65 calls
| JK: AO2USO                        :      0.000u      0.000s      0.010w     31 calls
HF: Form F                          :      2.117u      0.367s      0.242w     31 calls
HF: Form D                          :      0.967u      0.067s      0.156w     31 calls
HF: DIIS                            :     35.883u      6.017s      3.841w     30 calls
| DIISManager::add_entry            :      1.450u      0.033s      0.136w     30 calls
| DIISManager::extrapolate          :     10.900u      4.100s      1.410w     30 calls
| | bMatrix setup                   :      3.900u      3.083s      0.711w     30 calls
| | bMatrix pseudoinverse           :      0.083u      0.017s      0.009w     30 calls
| | New vector                      :      6.900u      1.000s      0.689w     30 calls
HF: Form C                          :     50.900u      3.000s      5.479w     30 calls

**************************************************************************************

Host: Rubens-MacBook-Pro-2.local

Timers On : Sun Jan 24 00:02:21 2021
Timers Off: Sun Jan 24 00:43:28 2021

Wall Time:     2467.60 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    689.900u      2.067s     64.552w      1 calls
DFH: sparsity prep                  :      1.350u      0.100s      0.884w      1 calls
JK: (A|Q)^-1                        :    371.467u     22.750s     60.388w      1 calls
JK: (A|mn)                          :    138.333u      4.683s     16.670w      1 calls
JK: (Q|mn)                          :    439.933u     19.150s     89.898w      1 calls
JK: (Q|mn) Write                    :      0.317u     14.250s     20.996w      1 calls
HF: Form core H                     :      0.317u      0.050s      0.039w      1 calls
HF: Form S/X                        :      1.433u      0.133s      0.160w      1 calls
HF: Guess                           :      4.550u      0.333s      0.482w      1 calls
SAD Guess                           :      4.350u      0.317s      0.465w      1 calls
HF: Form G                          :  17112.683u    952.250s   2182.237w     29 calls
RV: Form V                          :   2199.300u    142.767s    246.778w     29 calls
Properties                          :   1100.596p                         575012 calls
Functional                          :    188.695p                         575012 calls
V_xc                                :    520.485p                         575012 calls
JK: D                               :      1.150u      0.067s      0.146w     29 calls
JK: USO2AO                          :      0.617u      0.083s      0.062w     29 calls
